Node ID,Lat,Lon,
1,51.5,-0.1,
2,51.44229145,-0.012728706,
3,51.34247614,-0.066382096,
4,51.29054036,-0.060337847,
5,51.22100466,-0.005880602,
6,51.14544899,-0.071813413,
7,51.0873899,-0.035243507,
8,51.05813382,0.041446207,
9,51.04232559,0.034959734,
10,51.13475858,0.060196692,
11,51.23224155,-0.000412385,
12,51.25089426,0.089428646,
13,51.28116699,0.179331956,
14,51.32155199,0.210060659,
15,51.35816238,0.258301138,
16,51.34173326,0.250860521,
17,51.32696213,0.233917479,
18,51.39750866,0.181321549,
19,51.37838775,0.207884088,
20,51.4751405,0.187798041,
21,51.41528598,0.216731599,
22,51.42835113,0.16463192,
23,51.51684672,0.191204739,
24,51.45059101,0.127627428,
25,51.37801834,0.041061163,
26,51.4179093,0.057696722,
27,51.42138621,0.0219049,
28,51.44780511,-0.036364255,
29,51.5115241,-0.066058307,
30,51.46919987,0.032407706,
31,51.40852056,0.128170157,
32,51.44307352,0.176275955,
33,51.42411738,0.087378899,
34,51.38151736,-0.003401399,
35,51.47286968,0.039146007,
36,51.50171156,-0.018796989,
37,51.41965508,-0.033512876,
38,51.36299577,-0.035003007,
39,51.30362641,0.063566814,
40,51.22912306,-0.014375629,
41,51.28076651,-0.003424699,
42,51.22778224,0.013164626,
43,51.30415578,-0.023441596,
44,51.33846442,-0.004030476,
45,51.41989373,-0.075587246,
46,51.41541964,-0.131135722,
47,51.36366109,-0.174860901,
48,51.27393296,-0.170772635,
49,51.2114695,-0.269449889,
50,51.21058682,-0.298086722,
51,51.16103739,-0.324844058,
52,51.10294741,-0.36555489,
53,51.06097213,-0.320959402,
54,51.11484318,-0.264509008,
55,51.12999915,-0.298886382,
56,51.12619034,-0.397249202,
57,51.19735482,-0.3628044,
58,51.14318208,-0.42586184,
59,51.18416892,-0.412286357,
60,51.16840739,-0.372423735,
61,51.19413176,-0.37420016,
62,51.2567827,-0.474048656,
63,51.2817765,-0.443234413,
64,51.27012958,-0.511142277,
65,51.2601871,-0.557155404,
66,51.19502696,-0.571863407,
67,51.1634364,-0.50409706,
68,51.12350605,-0.484778639,
69,51.05482093,-0.559074189,
70,51.12611999,-0.460717752,
71,51.21629105,-0.403360897,
72,51.15199285,-0.365494102,
73,51.17986873,-0.435949661,
74,51.17400518,-0.430128463,
75,51.08618636,-0.34150292,
